Client name;Topic subscription
#bridge/local/#cluster:cd17890f3f81000a614dc72f00000000/solace/307/1
#client
;#MCAST/>
;#SEMP/solace/>
;#P2P/solace/#client/>
;#P2P/v:solace/#client/>
;#SEMP/v:solace/>
;#P2P/solace/WnAHbdbR/#client/>
